Station or stop;Name;Coordinate Latitude;Coordinate Longitude;Number of train rides;Minutes of delay
80181271;KARLSRUHE-DURLACH;49.002025;8.462449;24.41304347826087;15.839130434782609
80112987;BICKENBACH(BERGSTR);49.761353;8.604395;58.17350157728707;8.378548895899053
80118133;HANNOVER BISMARCKSTRASSE;52.35388;9.765488;33.38721804511278;11.018796992481203
80105494;SCHWERTE HEIDE;51.4632;7.5827;33.31456953642384;8.649006622516556
80081885;LEVERKUSEN-MORSBROICH;51.032497;7.026958;77.28434504792332;18.789137380191693
80112839;ERZHAUSEN;49.95178;8.651432;28.29491525423729;9.077966101694916
80112318;MAINZ-BISCHOFSHEIM;49.994215;8.35909;71.24172359432475;210.83867577509196
80200063;SALZBURG HBF GRENZE GNIGL;47.821556;13.030862;22.394833948339482;0.18450184501845018
80151092;GREMBERG SUEDSEITE;50.903172;7.038168;56.22122762148338;308.84271099744245
80144147;OBERHAUSEN;49.26054;8.503386;18.64840182648402;1.7442922374429224
80291062;ULM HBF;48.40395;9.974459;32.902216427640155;91.16297262059975
80109470;WIESBADEN-BIEBRICH;50.048799;8.237772;65.42105263157895;23.906621392190154
80034223;BERLIN EICHGESTELL;52.45848;13.559088;24.4983922829582;6.842443729903537
80290841;KUCHEN;48.640007;9.804082;35.32752613240418;0.0
80142919;KORK;48.5712;7.874398;17.94214876033058;1.5578512396694215
80169623;ZORNEDING;48.089025;11.832989;38.32802547770701;16.563694267515924
80290171;LUDWIGSBURG PBF;48.894062;9.18588;77.49685534591195;109.38050314465409
80144345;BASEL BAD RBF;47.588588;7.606162;18.58222222222222;169.87333333333333
80235952;LEIPZIG-PLAGWITZ;51.326724;12.322457;17.417355371900825;5.75206611570248
80051813;GREBENSTEIN;51.448391;9.420436;27.290836653386453;5.709163346613546
80111724;WOLFGANG (KR HANAU);50.122678;8.955315;47.92138364779874;74.55345911949685
80017186;HAMBURG SUEDERELBBRUECKE;53.48101;10.001259;33.35016835016835;18.932659932659934
80031484;BERLIN-KAROW WEST;52.6135;13.4553;17.417582417582416;13.487179487179487
80290759;EISLINGEN(FILS);48.69753;9.706239;35.910034602076124;87.87543252595155
80196980;KAISERSLAUTERN HBF;49.437029;7.76986;33.03174603174603;181.42222222222222
80098319;OBERHAUSEN-OSTERFELD ABZW;51.49368;6.870947;25.688581314878892;12.653979238754324
80138396;KIRCHHAMMELWARDEN;53.305854;8.47526;18.24255319148936;0.0
80142414;MUGGENSTURM;48.877368;8.275495;43.556603773584904;49.05345911949686
80021063;DINKELSCHERBEN;48.3443;10.587707;28.223684210526315;31.74122807017544
80156802;LEIPZIG MESSE;51.395813;12.389371;35.05825242718446;48.46278317152104
80200709;WALPERTSKIRCHEN;48.261249;11.9723;17.353982300884955;0.0
80053710;WOLFERSHAUSEN;51.186598;9.4512;26.4375;2.5183823529411766
80719104;COTTBUS-SANDOW;51.755126;14.353602;22.131832797427652;0.0
80060129;PIRNA;50.96375;13.929822;23.468599033816425;32.03864734299517
80077719;GRUENAUER KREUZ NORD;52.426377;13.561893;25.620192307692307;19.373397435897434
80392514;GONDELSHEIM SCHLOSSSTADION;49.065727;8.663716;33.53968253968254;0.0
80135400;LEHRTE;52.377866;9.974706;104.40314136125654;378.5130890052356
